,title,min salary,max salary,currency,emploer,link
132,Ведущий бизнес-аналитик,-,-,USD,Eqvanta,https://spb.hh.ru/vacancy/48560167?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
133,Старший бизнес-аналитик СЭД,1411,-,USD,Syntellect (ООО СИНТЕЛЛЕКТ),https://spb.hh.ru/vacancy/42785686?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
134,Системный аналитик (Senior),2822,3528,USD,ООО Интеллектуальные Продукты,https://spb.hh.ru/vacancy/48888663?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
135,Ведущий специалист по аналитике,-,-,USD,Билайн,https://spb.hh.ru/vacancy/48405082?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
136,"Главный специалист (аналитика, прогнозирование)",889,-,USD,"«Почта России», Офис",https://spb.hh.ru/vacancy/46984298?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
137,"Аналитик 1С / Ведущий аналитик 1С ERP (Финансы, бухгалтерия, зарплата)",1411,2258,USD,ВНЕДРЕНЕЦ,https://spb.hh.ru/vacancy/48299604?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
138,Аналитик CRM / бизнес-аналитик,-,-,USD,ДЛТ. ЦУМ – Санкт-Петербург,https://spb.hh.ru/vacancy/47565021?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
139,System Analyst/ Системный аналитик (возможность полной удаленной работы),2117,-,USD,Екассир,https://spb.hh.ru/vacancy/47109559?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
140,Data Analyst,2822,-,USD,Novakid Inc,https://spb.hh.ru/vacancy/48775586?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
141,Финансовый аналитик,988,-,USD,СПб ИЗОТОП,https://spb.hh.ru/vacancy/49081948?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
142,Ведущий Аналитик 1С ЗУП,1552,2117,USD,ООО Проекты и Поддержка,https://spb.hh.ru/vacancy/48997510?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
143,Бизнес аналитик / Системный аналитик в международные CRM проекты,847,1129,USD,Smart Capital,https://spb.hh.ru/vacancy/48887915?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
144,Ведущий аналитик-маркетолог (руководитель отдела),-,-,USD,ООО Глассен-АйТи,https://spb.hh.ru/vacancy/48597093?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
145,Консультант-аналитик 1С (Ведущий консультант-аналитик 1С),1693,2117,USD,Onecloudspace,https://spb.hh.ru/vacancy/47459474?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
146,Младший бизнес-аналитик,423,706,USD,Интроверт,https://spb.hh.ru/vacancy/48384641?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
147,Бизнес-аналитик,-,-,USD,СИГМА,https://spb.hh.ru/vacancy/48978645?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
148,Ведущий аналитик BI (удаленно),-,-,USD,IBS,https://spb.hh.ru/vacancy/49037125?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
149,Бизнес-аналитик (1С),-,-,USD,ООО СТА Карго,https://spb.hh.ru/vacancy/48433185?query=%D0%B2%D0%B5%D0%B4%D1%83%D1%89%D0%B8%D0%B9%20%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA
150,Ведущий аналитик 1С,-,2117,USD,ПитерСофт,https://spb.superjob.ru/vakansii/veduschij-analitik-1s-39401345.html
151,Ведущий аналитик,957,1116,USD,ГК АКМЭ,https://spb.superjob.ru/vakansii/veduschij-analitik-39402061.html
152,Ведущий аналитик по планированию продаж,-,,USD,«Черкизово»,https://spb.superjob.ru/vakansii/veduschij-analitik-po-planirovaniyu-prodazh-39553941.html
153,Ведущий аналитик 1С,-,2117,USD,Ладога Дистрибьюшен,https://spb.superjob.ru/vakansii/veduschij-analitik-1s-38172362.html
154,Ведущий аналитик,-,,USD,Газпром нефть,https://spb.superjob.ru/vakansii/veduschij-analitik-39380729.html
155,Ведущий интернет-маркетолог,917,-,USD,ИТА ГРУПП,https://spb.superjob.ru/vakansii/veduschij-internet-marketolog-39498406.html
156,Ведущий специалист по маркетингу,1129,-,USD,Инвертор,https://spb.superjob.ru/vakansii/veduschij-specialist-po-marketingu-39392815.html
157,Аналитик 1С,-,1693,USD,ПитерСофт,https://spb.superjob.ru/vakansii/analitik-1s-39401029.html
158,Java-разработчик,-,,USD,Сбербанк России,https://spb.superjob.ru/vakansii/java-razrabotchik-39399668.html
159,Маркетолог,1411,-,USD,КонсалтПро,https://spb.superjob.ru/vakansii/marketolog-39630619.html
160,Координатор по документообороту,494,564,USD,Агропромкомплектация,https://spb.superjob.ru/vakansii/koordinator-po-dokumentooborotu-39430222.html
161,Администратор сайта,-,,USD,Global Personal,https://spb.superjob.ru/vakansii/administrator-sajta-39369018.html
162,Тестировщик,1129,1270,USD,"Предприятие ""АЛИДИ""",https://spb.superjob.ru/vakansii/testirovschik-39256107.html
163,Тестировщик (ручное тестирование),-,,USD,Сбербанк России,https://spb.superjob.ru/vakansii/testirovschik-39358787.html
164,Ведущий аналитик 1С,-,2117,USD,ПитерСофт,https://spb.superjob.ru/vakansii/veduschij-analitik-1s-39401345.html
165,Ведущий аналитик,957,1116,USD,ГК АКМЭ,https://spb.superjob.ru/vakansii/veduschij-analitik-39402061.html
166,Ведущий аналитик по планированию продаж,-,,USD,«Черкизово»,https://spb.superjob.ru/vakansii/veduschij-analitik-po-planirovaniyu-prodazh-39553941.html
167,Ведущий аналитик 1С,-,2117,USD,Ладога Дистрибьюшен,https://spb.superjob.ru/vakansii/veduschij-analitik-1s-38172362.html
168,Ведущий аналитик,-,,USD,Газпром нефть,https://spb.superjob.ru/vakansii/veduschij-analitik-39380729.html
169,Ведущий интернет-маркетолог,917,-,USD,ИТА ГРУПП,https://spb.superjob.ru/vakansii/veduschij-internet-marketolog-39498406.html
170,Ведущий специалист по маркетингу,1129,-,USD,Инвертор,https://spb.superjob.ru/vakansii/veduschij-specialist-po-marketingu-39392815.html
171,Аналитик 1С,-,1693,USD,ПитерСофт,https://spb.superjob.ru/vakansii/analitik-1s-39401029.html
172,Java-разработчик,-,,USD,Сбербанк России,https://spb.superjob.ru/vakansii/java-razrabotchik-39399668.html
173,Маркетолог,1411,-,USD,КонсалтПро,https://spb.superjob.ru/vakansii/marketolog-39630619.html
174,Координатор по документообороту,494,564,USD,Агропромкомплектация,https://spb.superjob.ru/vakansii/koordinator-po-dokumentooborotu-39430222.html
175,Администратор сайта,-,,USD,Global Personal,https://spb.superjob.ru/vakansii/administrator-sajta-39369018.html
176,Тестировщик,1129,1270,USD,"Предприятие ""АЛИДИ""",https://spb.superjob.ru/vakansii/testirovschik-39256107.html
177,Тестировщик (ручное тестирование),-,,USD,Сбербанк России,https://spb.superjob.ru/vakansii/testirovschik-39358787.html
